subject,video,valence_changepoints,number_valence_changepoints,arousal_changepoints,number_arousal_changepoints,model,jump_value,penalty_value
12,5,"[11.67, 12.17, 27.17, 27.83, 36.0, 38.0, 44.33, 45.5, 45.67]",9,"[11.67, 12.17, 27.17, 27.67, 36.0, 38.0, 44.33, 45.17]",8,l2,5,1
12,6,"[4.5, 53.67, 55.17, 58.5]",4,"[4.5, 23.17, 32.67, 53.83]",4,l2,5,1
12,7,"[6.17, 34.83, 38.0, 41.67]",4,"[6.17, 6.83, 24.83, 34.67, 41.67, 42.17, 43.0]",7,l2,5,1
12,8,"[4.5, 5.33, 5.83, 8.33, 8.83, 13.17, 28.83, 30.17, 47.67, 48.83]",10,"[4.67, 5.33, 11.67]",3,l2,5,1
13,1,"[3.33, 7.0]",2,"[3.33, 6.17, 8.83, 17.5, 59.0]",5,l2,5,1
13,2,"[1.67, 3.5, 7.33, 15.67, 19.67, 38.33]",6,"[1.67, 3.5, 6.0, 7.67, 15.5, 17.0, 36.83, 51.33]",8,l2,5,1
13,3,"[2.0, 11.17]",2,"[2.17, 2.5, 11.33, 19.67, 38.67, 54.67]",6,l2,5,1
13,4,"[6.33, 21.67, 43.0, 43.5, 54.0]",5,"[7.67, 20.67]",2,l2,5,1
13,5,"[6.83, 27.33, 32.67, 38.5]",4,"[6.83, 9.67, 10.67, 27.5, 28.0, 30.0, 32.33, 38.5]",8,l2,5,1
13,6,"[2.17, 2.67, 9.17, 19.33, 47.5, 52.0, 54.17]",7,"[2.67, 4.5, 5.17, 20.83, 22.83, 47.17, 54.67]",7,l2,5,1
13,7,"[1.67, 6.67, 7.5, 42.17, 42.83, 43.5]",6,"[1.67, 4.0, 43.67, 44.67, 46.5, 48.33]",6,l2,5,1
13,8,"[3.17, 18.5, 28.0, 58.0]",4,"[3.17, 13.5, 28.5, 32.0, 43.33, 49.0, 58.17]",7,l2,5,1
14,1,"[3.33, 5.0, 9.5, 15.17, 45.67, 55.67]",6,"[5.5, 44.5, 45.67]",3,l2,5,1
14,2,"[6.83, 10.83, 24.0, 29.33]",4,"[8.33, 10.33, 14.67, 18.67, 23.33, 29.0, 32.17, 42.0]",8,l2,5,1
14,3,"[4.17, 14.5, 23.17, 32.67, 37.83]",5,"[4.0, 12.0, 39.5, 48.17, 49.5, 57.5]",6,l2,5,1
14,4,"[8.33, 28.33, 36.67, 40.0, 46.67, 50.67, 52.83]",7,"[8.33, 12.33, 40.17, 46.83, 52.83]",5,l2,5,1
14,5,"[13.0, 25.67, 32.83, 50.83, 58.0]",5,"[13.67, 16.5, 23.67, 33.0]",4,l2,5,1
14,6,"[4.67, 10.83, 28.83, 29.67]",4,"[4.83, 10.83, 29.0, 29.33, 34.0, 49.17]",6,l2,5,1
14,7,"[8.0, 19.5, 27.17, 34.0, 37.17, 42.17, 44.33]",7,"[9.17, 38.33]",2,l2,5,1
14,8,"[18.0, 26.33]",2,"[19.33, 20.67, 22.5, 26.67, 35.17, 41.5, 42.33]",7,l2,5,1
15,1,"[2.0, 18.5, 43.67, 50.0, 52.0]",5,"[5.5, 12.0, 18.67, 36.33, 42.33, 42.67, 43.5, 46.33, 49.83]",9,l2,5,1
15,2,"[2.33, 2.83, 11.5, 26.0, 39.0, 50.33]",6,"[2.33, 3.0, 4.33, 20.0, 26.0, 33.67, 50.67]",7,l2,5,1
15,3,"[9.0, 11.83, 21.33, 42.0, 53.17]",5,"[1.17, 7.17, 8.83, 28.83, 42.5]",5,l2,5,1
15,4,"[1.33, 2.5, 4.33, 20.17, 41.0, 42.67, 47.33, 53.83, 56.83]",9,"[1.5, 3.33, 18.67, 40.83, 48.67, 53.17, 57.5]",7,l2,5,1
15,5,"[5.33, 9.67, 25.67, 48.17]",4,"[5.67, 11.17, 25.83, 45.17]",4,l2,5,1
15,6,"[3.17, 12.5, 33.83]",3,"[3.17, 4.5, 12.5, 32.83, 43.0]",5,l2,5,1
15,7,"[1.67, 45.0]",2,"[4.83, 21.67, 40.17, 45.67]",4,l2,5,1
15,8,"[3.0, 5.5, 13.5, 23.83, 41.83]",5,"[5.67, 51.83, 55.5]",3,l2,5,1
16,1,"[2.67, 30.5]",2,"[2.67, 30.67, 32.83, 34.67, 43.33]",5,l2,5,1
16,2,"[2.17, 13.83, 16.67, 46.33]",4,"[9.5, 17.17, 46.5, 55.67]",4,l2,5,1
16,3,"[2.17, 7.67, 9.17, 22.67, 43.5, 46.83, 51.0, 55.0]",8,"[2.33, 8.83, 22.83, 46.83, 51.0, 55.17]",6,l2,5,1
16,4,"[12.33, 18.67, 26.17, 38.33, 42.17, 47.33, 52.17, 54.83]",8,"[3.83, 8.5, 10.5, 18.83, 21.83, 40.67, 55.83]",7,l2,5,1
16,5,"[3.33, 24.5, 32.17, 49.17, 52.17]",5,"[3.33, 32.33, 48.17, 49.0, 52.5]",5,l2,5,1
16,6,[2.83],1,[2.33],1,l2,5,1
16,7,"[5.67, 12.5, 20.67, 42.67, 48.0]",5,"[4.0, 42.33, 52.83]",3,l2,5,1
16,8,"[4.0, 25.0, 48.0, 57.5]",4,"[4.0, 18.83]",2,l2,5,1
17,1,"[2.5, 23.17, 28.83, 38.67, 46.5, 47.83, 56.0]",7,"[2.5, 4.67]",2,l2,5,1
17,2,"[11.33, 24.33, 58.0]",3,"[3.67, 11.33, 21.0, 24.83]",4,l2,5,1
17,3,"[27.67, 40.67, 53.33]",3,"[3.67, 7.5, 27.5, 36.0, 52.33, 55.0]",6,l2,5,1
17,4,"[27.33, 42.83, 46.17, 51.17, 54.33, 58.33]",6,"[16.67, 36.0, 54.33]",3,l2,5,1
17,5,"[29.0, 31.83, 37.17, 46.5, 48.67, 50.33, 53.67]",7,"[12.17, 16.0, 33.33, 38.5, 46.5, 48.33, 50.33, 51.0, 53.83]",9,l2,5,1
17,6,"[4.67, 5.33, 6.17, 8.67, 11.33, 13.33, 27.0, 39.5, 51.17, 52.17]",10,"[6.0, 8.83, 14.0, 27.0, 30.83, 41.33, 47.33, 52.17]",8,l2,5,1
17,7,"[6.33, 17.83, 21.5, 29.33, 41.5, 50.67, 55.67]",7,"[5.83, 18.83, 22.33, 29.17, 30.83, 41.67, 45.67, 55.67]",8,l2,5,1
17,8,"[3.5, 7.83, 13.5, 17.17, 34.33, 39.0, 40.83, 56.5, 58.33]",9,"[2.0, 2.67, 4.33, 39.0, 41.33, 45.83, 57.5, 58.17]",8,l2,5,1
18,1,"[3.83, 9.33, 10.83, 53.33]",4,"[4.17, 5.5, 11.33, 11.83, 52.67]",5,l2,5,1
18,2,"[1.67, 21.33, 28.17, 33.0, 35.5, 39.17, 41.33, 44.0, 47.5]",9,"[1.67, 5.83, 21.67, 33.0, 39.67, 40.33, 56.33]",7,l2,5,1
18,3,"[4.0, 8.0, 10.5, 25.0, 25.67, 26.83, 27.33, 28.17, 30.33, 35.5, 36.83, 41.17, 47.17, 53.83, 57.33, 58.5]",16,"[4.0, 8.17, 25.67, 26.33, 27.33, 29.33, 30.33, 35.83, 47.0, 53.5]",10,l2,5,1
18,4,"[2.83, 3.5, 8.33, 12.5, 38.83, 43.67, 47.0]",7,"[7.33, 23.0, 47.0, 54.5]",4,l2,5,1
18,5,"[3.33, 5.33, 6.33, 31.5, 37.67, 41.17, 43.5, 48.5, 57.83]",9,"[4.5, 5.33, 6.5, 31.5, 36.33, 41.17, 58.33]",7,l2,5,1
18,6,"[4.33, 5.67, 8.33, 19.83, 41.0, 54.67, 58.83]",7,"[2.5, 3.0, 7.17, 7.67, 22.67]",5,l2,5,1
18,7,"[19.33, 22.83, 53.67, 57.67]",4,"[4.67, 21.67, 31.33, 39.33, 52.67, 57.5]",6,l2,5,1
18,8,"[4.33, 4.83, 5.83, 7.5, 17.83, 39.67, 55.33]",7,"[3.33, 5.5, 7.5, 12.83, 14.67, 25.5, 39.33, 53.5, 55.33]",9,l2,5,1
19,1,"[2.5, 10.17, 12.5, 12.67, 45.0, 46.83, 51.83, 52.33]",8,"[2.5, 10.33, 12.67, 17.17, 45.0, 46.83, 52.5]",7,l2,5,1
19,2,"[5.17, 5.33]",2,[5.33],1,l2,5,1
19,3,"[3.0, 8.83, 9.5, 10.0, 10.67, 18.33, 28.5]",7,"[3.0, 9.5, 9.83, 18.33, 22.0, 27.33, 28.5, 31.0, 46.33]",9,l2,5,1
19,4,"[6.67, 10.83, 24.17]",3,"[3.5, 6.67, 6.83]",3,l2,5,1
19,5,"[4.33, 25.0, 25.67, 33.5, 40.83, 52.17, 52.33]",7,"[4.33, 24.17, 24.5, 25.5, 25.67, 33.5, 53.0]",7,l2,5,1
19,6,"[4.67, 5.5, 5.83, 6.0, 19.67, 20.83, 21.67, 26.5, 42.33]",9,"[4.67, 5.5, 6.0, 7.67, 19.67, 21.33, 21.67, 28.5, 42.33, 42.67]",10,l2,5,1
19,7,"[4.67, 7.0, 12.17, 14.83, 15.83, 18.0, 18.67, 20.5, 21.17, 27.17, 30.5, 32.17, 32.83, 37.0, 37.83]",15,"[8.83, 10.5, 12.17, 15.0, 15.67, 18.17, 18.83, 19.5, 20.83, 21.33, 27.0, 30.67, 32.17, 32.67, 37.83]",15,l2,5,1
19,8,"[5.5, 11.5, 22.83, 23.0, 50.17, 50.33, 50.5]",7,"[5.5, 22.0, 22.83, 50.67]",4,l2,5,1
2,1,"[9.5, 16.33, 38.83]",3,"[10.17, 13.83, 14.83, 16.0, 19.5, 22.0, 38.5, 49.67, 56.5, 57.67]",10,l2,5,1
2,2,"[10.33, 10.67, 19.0, 33.5, 35.5, 45.83]",6,"[18.17, 21.5, 23.83, 32.83, 35.5]",5,l2,5,1
2,3,"[8.0, 11.5, 15.0, 20.83, 23.17, 24.33, 33.67, 44.67]",8,"[8.33, 11.5, 15.0, 20.67, 35.33, 44.67]",6,l2,5,1
2,4,"[23.5, 25.33, 26.83, 54.0]",4,"[23.67, 25.17, 52.83, 53.33, 55.5, 56.83]",6,l2,5,1
2,5,"[5.5, 11.33, 14.0]",3,"[5.83, 11.5, 14.0]",3,l2,5,1
2,6,"[28.33, 29.17, 35.0, 45.5, 50.17, 54.83]",6,"[26.83, 29.17]",2,l2,5,1
2,7,[12.0],1,[12.0],1,l2,5,1
2,8,"[12.0, 13.17]",2,"[13.5, 15.5, 20.83, 37.83, 47.0]",5,l2,5,1
20,1,"[4.17, 6.67, 8.0, 17.67, 28.0, 28.83, 33.17, 35.5, 37.33, 40.0]",10,"[4.17, 5.33, 6.67, 8.0, 8.83, 17.5, 18.67, 20.5, 27.0, 28.67, 30.83, 35.33, 37.5, 39.83, 49.17]",15,l2,5,1
20,2,"[5.17, 12.33, 20.67, 26.5, 43.5, 51.0, 53.17, 58.67]",8,"[6.0, 11.0, 20.67]",3,l2,5,1
20,3,"[6.67, 9.0, 10.83, 19.83, 30.0, 40.67, 42.0, 43.33, 46.67, 50.5, 58.83]",11,"[7.83, 9.0, 11.0, 12.5, 17.0, 21.33, 33.33, 35.17, 42.83, 46.5, 54.33]",11,l2,5,1
20,4,"[5.33, 10.83, 14.17, 31.83, 35.67, 43.67, 52.5, 57.83]",8,"[5.33, 6.0, 9.83, 11.0, 31.83, 35.67, 50.5, 55.5]",8,l2,5,1
20,5,"[4.83, 7.33, 8.83, 10.83, 23.17, 36.0]",6,"[8.83, 10.17, 15.33, 20.5, 23.33]",5,l2,5,1
20,6,"[2.83, 3.5, 7.83, 9.5, 30.83]",5,"[2.67, 3.5, 4.67, 7.83, 9.67, 12.0, 30.67, 54.67]",8,l2,5,1
20,7,"[4.0, 5.67, 32.17, 36.17, 45.0, 48.17, 57.0]",7,"[4.17, 5.67, 24.0, 31.83, 45.83, 48.0]",6,l2,5,1
20,8,"[8.0, 10.0, 10.83, 13.33, 15.33, 22.5, 27.0]",7,"[7.83, 13.33, 18.5, 19.33, 37.67]",5,l2,5,1
21,1,"[3.0, 3.83, 4.67, 10.67, 17.83, 22.0, 25.83, 29.0, 31.0, 32.0, 36.67, 40.17, 41.5, 45.33, 54.83]",15,"[4.5, 12.33, 17.83, 20.83, 21.67, 25.67, 27.83, 28.33, 31.0, 33.67, 35.33, 42.67, 45.17]",13,l2,5,1
21,2,"[2.83, 7.17, 8.83, 32.33, 34.33, 35.33, 35.83, 37.5, 39.17, 56.5]",10,"[8.0, 9.0, 12.83, 15.17, 17.17, 18.83, 22.5, 25.67, 31.5, 33.5, 36.33, 37.33, 39.33, 41.17, 48.67, 52.83, 55.17, 56.33]",18,l2,5,1
21,3,"[4.83, 9.67, 11.5, 12.5, 16.5, 17.0, 17.5, 19.33]",8,"[5.83, 11.17, 13.17, 15.17, 21.67, 23.0, 34.83, 48.33]",8,l2,5,1
21,4,"[3.0, 3.67, 4.33, 52.0]",4,"[5.83, 8.33, 9.67, 10.83, 23.67, 39.17, 43.67, 46.17, 47.33, 49.5, 51.83, 53.83, 58.5]",13,l2,5,1
21,5,"[2.0, 12.5, 21.33, 27.33, 44.83]",5,"[11.17, 16.5, 19.5, 20.67, 23.0, 30.83, 33.17, 41.67, 47.17, 50.67, 59.0]",11,l2,5,1
21,6,"[2.0, 4.17, 21.83, 25.33, 39.83, 43.5]",6,"[5.33, 8.0, 11.5, 15.0, 18.0, 22.33, 25.17, 36.0, 39.0, 43.67, 49.83, 55.17]",12,l2,5,1
21,7,"[2.0, 17.5, 18.33, 23.67, 28.33, 33.33, 35.67, 41.33, 43.17, 47.33, 51.0, 53.67, 57.0]",13,"[16.0, 27.17, 35.17, 41.33, 59.33]",5,l2,5,1
21,8,"[2.67, 3.5, 5.0, 8.17, 10.17, 23.17, 26.0, 28.5, 33.0, 39.17, 42.67, 48.33]",12,"[19.5, 26.33, 54.17, 57.17]",4,l2,5,1
22,1,"[2.83, 5.17, 32.0, 34.17, 52.0, 53.0, 55.17, 57.67]",8,"[2.67, 3.5, 4.17, 5.33, 12.67, 13.5, 14.83, 32.0, 34.67, 36.0, 37.67, 42.5, 48.67, 49.67, 51.0, 52.33, 56.0]",17,l2,5,1
22,2,"[6.5, 8.5, 17.33, 25.0, 29.67, 33.5, 34.17, 35.0, 42.0, 44.5, 50.17, 52.0, 53.0]",13,"[1.33, 1.83, 4.67, 25.5]",4,l2,5,1
22,3,"[1.33, 2.0, 2.67, 7.17, 8.67, 9.0, 17.67, 18.5, 19.5, 20.0, 20.83, 22.83, 25.83, 33.0, 34.33, 36.17, 37.0, 40.33, 41.33, 44.83, 46.67, 48.67, 50.67, 51.5, 52.5, 57.5]",26,"[1.5, 2.67, 6.0, 7.33, 14.67, 16.0, 17.83, 20.67, 21.33, 23.17, 25.83, 31.33, 34.17, 38.33, 41.0, 42.83, 50.83]",17,l2,5,1
22,4,"[8.17, 32.0, 34.0, 36.0, 43.5, 45.67, 46.17, 51.67, 57.17]",9,"[8.17, 37.33, 39.83, 43.5, 45.67, 51.67, 54.5, 57.33, 58.33]",9,l2,5,1
22,5,"[1.33, 6.17, 23.0, 38.83, 46.17, 54.5]",6,"[1.5, 23.0, 23.67, 26.0, 30.33, 31.5, 39.5, 44.83, 48.33, 49.0, 56.0]",11,l2,5,1
22,6,"[2.17, 2.83, 7.33, 16.83, 25.33, 29.0, 30.67, 33.83, 40.33, 48.33]",10,"[2.0, 9.5, 14.5, 15.5, 29.17, 33.83, 40.17, 43.67, 47.17, 49.5]",10,l2,5,1
22,7,"[1.17, 1.83, 3.67, 4.83, 10.83, 15.83, 19.83, 20.83, 22.67, 25.17, 29.33, 37.33, 41.33, 42.83, 44.33, 55.0]",16,"[2.83, 16.33, 19.83, 21.0, 22.33, 23.83, 25.17, 29.0, 29.5, 42.83, 44.17, 47.17, 47.67, 51.5, 52.33, 55.0]",16,l2,5,1
22,8,"[1.83, 4.83, 19.5, 24.5, 33.83, 36.5, 52.5]",7,"[1.83, 3.17, 6.33, 15.17, 18.17, 27.17, 30.83, 37.33, 47.83, 48.83, 57.33]",11,l2,5,1
23,1,[5.5],1,"[5.5, 12.17]",2,l2,5,1
23,2,"[8.67, 15.0, 16.0, 22.33, 25.5, 56.67, 57.83]",7,"[8.67, 15.0, 15.83, 17.17, 22.5, 24.17, 25.83, 26.17, 31.33, 34.5, 56.67]",11,l2,5,1
23,3,"[2.5, 17.0]",2,"[2.67, 17.0]",2,l2,5,1
23,4,"[7.67, 13.33, 16.83, 22.67, 33.67, 43.0, 43.67, 45.67, 47.83, 50.83, 52.33]",11,"[7.67, 13.67, 16.83, 33.67, 39.67, 42.5, 43.83, 45.83, 49.67, 52.5]",10,l2,5,1
23,5,"[11.5, 22.83, 25.67, 35.83, 38.67, 43.33, 47.5, 49.0, 54.33, 54.83, 58.5]",11,"[11.67, 15.17, 23.0, 25.17]",4,l2,5,1
23,6,[2.33],1,[2.33],1,l2,5,1
23,7,"[4.5, 17.33, 22.0, 25.83, 31.67, 34.33, 37.33, 41.67, 55.33]",9,"[4.5, 17.33, 22.0, 25.83, 37.33, 40.33, 41.67, 56.33]",8,l2,5,1
23,8,"[12.83, 14.5, 15.83, 23.17, 58.5]",5,"[15.67, 23.0, 58.5]",3,l2,5,1
24,1,"[6.0, 6.83, 8.0, 12.67, 29.5, 31.0]",6,"[5.83, 9.0, 10.5, 13.67, 29.83, 31.17, 38.33, 44.83, 51.0]",9,l2,5,1
24,2,"[19.0, 24.0]",2,"[19.0, 24.33, 26.17, 35.5, 44.67, 49.33]",6,l2,5,1
24,3,"[12.5, 16.17, 30.83, 37.67, 49.17]",5,"[5.5, 6.17, 16.33, 30.83, 50.5]",5,l2,5,1
24,4,"[13.83, 25.83, 31.67, 45.17]",4,"[15.67, 25.83, 32.33, 45.17]",4,l2,5,1
24,5,"[4.0, 5.83, 6.83, 12.5, 21.0, 23.83, 37.5, 48.83, 53.67, 57.0]",10,"[3.5, 4.33, 21.17]",3,l2,5,1
24,6,"[2.33, 6.17, 10.0, 24.83, 30.5, 37.17, 40.17, 52.17]",8,"[6.67, 10.0, 24.83, 27.17, 30.83, 36.83, 40.0, 48.17]",8,l2,5,1
24,7,"[13.17, 18.33, 19.67, 21.83, 45.33]",5,"[3.67, 4.33, 14.0, 15.17, 17.33, 20.17, 25.5, 28.67, 36.5, 42.83, 44.67]",11,l2,5,1
24,8,"[3.17, 7.33, 39.17]",3,"[3.17, 6.83]",2,l2,5,1
25,1,"[3.5, 6.17, 13.5, 35.17]",4,[],0,l2,5,1
25,2,"[19.5, 21.17, 24.17, 25.17, 41.17]",5,"[0.83, 4.83, 7.17, 18.17, 19.5, 24.67, 25.5, 34.17, 51.83]",9,l2,5,1
25,3,"[8.33, 11.5, 13.83, 14.67, 16.0, 17.67, 42.67, 43.17, 46.17, 46.83, 51.17]",11,"[10.33, 10.83, 12.5, 15.17, 18.5, 34.33, 43.33, 46.33, 46.67, 47.17, 50.83]",11,l2,5,1
25,4,"[9.33, 10.67, 38.33, 41.0, 41.67, 49.5, 55.83]",7,"[9.33, 10.67, 14.67, 35.17, 39.17, 40.33, 41.67, 51.67]",8,l2,5,1
25,5,"[3.33, 52.83]",2,"[3.33, 10.83]",2,l2,5,1
25,6,"[2.33, 6.83]",2,[2.5],1,l2,5,1
25,7,"[9.83, 13.0, 22.33, 38.5, 51.67]",5,"[9.67, 10.33, 13.0, 29.5, 38.83, 41.67, 46.5, 51.5]",8,l2,5,1
25,8,"[6.33, 21.0, 52.33]",3,"[6.33, 19.17, 21.0, 52.33]",4,l2,5,1
26,1,"[1.5, 22.17, 23.33, 27.17, 28.67, 29.17, 30.5, 32.17, 34.17, 35.17, 36.67, 38.5, 39.83, 41.0, 48.5, 53.0, 57.5, 58.83]",18,"[1.5, 3.0, 15.5, 18.33, 23.5, 24.33, 33.17, 39.83, 41.83, 46.0, 47.17, 48.17, 50.67, 53.0, 56.17, 59.0]",16,l2,5,1
26,2,"[2.0, 21.5, 32.67, 36.83, 53.0]",5,"[2.17, 4.33, 53.0]",3,l2,5,1
26,3,"[1.5, 17.83, 41.17, 44.5, 47.67, 58.0]",6,"[1.33, 5.33, 16.83, 24.33, 28.17, 33.83, 37.17, 39.5, 41.17, 45.0, 46.5]",11,l2,5,1
26,4,"[2.33, 14.17, 16.17, 22.67, 30.0, 43.5, 45.0, 46.33, 53.33, 57.5]",10,"[5.33, 6.17, 9.5, 18.67, 30.33, 40.17, 42.17, 42.5, 53.17]",9,l2,5,1
26,5,"[2.0, 2.5, 4.5, 6.0, 8.33, 23.67, 40.67, 42.33, 44.0, 48.0, 56.67]",11,"[1.33, 4.5, 6.0, 7.67, 16.83, 23.5, 35.0, 39.5]",8,l2,5,1
26,6,"[3.17, 4.0, 9.83, 16.67, 22.5, 32.33, 45.33, 46.33]",8,"[2.0, 4.17, 4.67, 8.83, 10.0, 12.0, 30.0, 32.17, 45.17, 46.33]",10,l2,5,1
26,7,"[1.33, 3.0, 5.17, 9.0, 14.17, 18.83, 20.17, 24.17]",8,"[3.83, 4.83, 18.17, 19.0, 20.17, 31.33, 32.83, 34.0, 42.33, 55.67, 56.5, 58.83, 59.17]",13,l2,5,1
26,8,"[1.33, 3.5, 4.17, 5.17, 9.5, 18.67, 19.5, 24.33, 25.83, 30.5, 46.17, 47.33, 48.0, 49.33]",14,"[1.33, 2.17, 2.67, 3.5, 4.0, 5.17, 24.33, 26.0, 47.83, 49.5]",10,l2,5,1
27,1,"[6.33, 7.67, 22.67, 24.0, 28.17, 31.0, 33.83, 37.67, 38.67, 40.67, 42.83, 46.17, 50.17, 58.5]",14,"[7.5, 8.33, 13.83, 14.83, 18.0, 19.5, 20.33, 22.5, 24.0, 26.67, 27.83, 31.17, 33.67, 42.83, 46.17]",15,l2,5,1
27,2,"[8.5, 8.83, 11.33, 17.17, 18.83, 21.33, 22.5, 24.5, 25.33, 38.83, 39.33, 45.83, 51.5, 58.5]",14,"[17.0, 18.83, 38.83, 39.5, 46.0]",5,l2,5,1
27,3,"[15.17, 16.5, 23.83, 27.33, 53.5, 56.5]",6,"[13.67, 16.67, 25.0, 27.33, 53.33, 56.5]",6,l2,5,1
27,4,"[8.67, 8.83, 9.33, 12.83, 20.5, 23.33, 53.0, 53.67, 57.0]",9,"[20.5, 23.33, 53.17, 57.0]",4,l2,5,1
27,5,"[4.0, 10.67, 37.5, 38.0]",4,"[4.33, 10.83, 25.0, 31.33, 52.0]",5,l2,5,1
