subject,video,valence_changepoints,number_valence_changepoints,arousal_changepoints,number_arousal_changepoints,model,jump_value,penalty_value
13,8,"[102.25, 118.0, 126.25]",3,"[17.75, 45.5, 100.5, 126.75]",4,l2,5,1
14,1,"[5.75, 21.75, 35.75, 67.0, 87.5, 104.75, 114.25, 143.25, 156.5, 159.75, 176.0]",11,"[138.0, 163.75]",2,l2,5,1
14,2,"[17.5, 66.5, 96.25, 116.0, 148.5]",5,[],0,l2,5,1
14,3,[],0,"[17.5, 79.75]",2,l2,5,1
14,4,"[10.75, 36.5, 152.5]",3,[106.5],1,l2,5,1
14,5,"[7.5, 53.0]",2,"[19.0, 51.75, 94.75, 124.0]",4,l2,5,1
14,6,[140.5],1,"[22.5, 49.0, 98.25]",3,l2,5,1
14,7,[],0,"[12.25, 19.25, 39.75, 59.25, 62.75, 76.5, 91.75, 98.5, 116.0, 123.0, 147.25, 160.5, 177.25]",13,l2,5,1
14,8,"[116.75, 132.5]",2,"[19.0, 33.25, 57.25, 81.0, 91.25, 100.5, 112.25, 132.5, 138.75]",9,l2,5,1
15,1,"[7.25, 17.0, 87.75, 92.75, 111.25, 138.25, 152.25, 163.75]",8,"[8.25, 31.5, 72.0, 93.75, 106.75, 120.0]",6,l2,5,1
15,2,"[5.5, 50.25, 61.5, 87.0, 121.25]",5,"[115.5, 139.5]",2,l2,5,1
15,3,"[8.0, 28.0, 56.0, 77.0, 96.0, 114.75]",6,"[18.0, 40.25, 45.5, 77.75, 93.25]",5,l2,5,1
15,4,"[18.5, 61.75, 97.0, 131.0, 156.0]",5,"[6.25, 50.0, 64.0, 97.5]",4,l2,5,1
15,5,"[9.5, 22.25, 34.75, 73.0, 79.25, 95.0, 102.0, 119.75, 136.5]",9,[95.0],1,l2,5,1
15,6,"[10.25, 52.5, 85.75, 90.25, 127.75]",5,"[13.5, 74.0, 94.0, 127.0, 130.5]",5,l2,5,1
15,7,"[5.25, 28.0, 49.0, 53.75, 62.25, 67.5, 75.25, 115.75, 134.5, 140.0, 181.25]",11,"[4.75, 29.75, 36.25, 43.25, 46.0, 58.5, 67.75, 90.25, 115.25, 133.75, 149.0]",11,l2,5,1
15,8,"[11.75, 31.5, 65.5, 75.25, 86.5, 111.75, 135.5]",7,"[46.5, 60.75, 83.75, 111.75, 117.0, 135.5]",6,l2,5,1
16,1,"[6.5, 32.5, 76.0, 109.5, 142.25]",5,"[34.75, 39.0, 84.75]",3,l2,5,1
16,2,"[124.25, 140.0, 142.25]",3,"[40.25, 121.75, 149.0]",3,l2,5,1
16,3,[],0,[],0,l2,5,1
16,4,[],0,"[37.25, 40.25]",2,l2,5,1
16,5,"[8.0, 10.5]",2,"[47.0, 62.75]",2,l2,5,1
16,6,[33.25],1,[],0,l2,5,1
16,7,"[59.25, 89.75, 115.5, 166.75]",4,"[43.25, 59.5, 77.0, 89.5, 115.5, 161.75, 175.5]",7,l2,5,1
16,8,"[59.25, 100.5, 111.5]",3,"[72.0, 99.5, 102.5, 111.5]",4,l2,5,1
17,1,"[60.5, 107.5, 136.0, 144.25, 157.5]",5,"[2.25, 11.75, 100.5, 157.25, 164.25]",5,l2,5,1
17,2,"[73.25, 101.75, 125.5, 157.25, 168.0, 171.25]",6,"[56.75, 71.5, 100.0, 123.0, 137.0, 152.25, 159.0]",7,l2,5,1
17,3,[6.5],1,[48.5],1,l2,5,1
17,4,"[17.25, 60.75, 90.75, 114.75]",4,[125.5],1,l2,5,1
17,5,[135.0],1,"[3.0, 57.0, 59.5, 93.5]",4,l2,5,1
17,6,"[40.0, 58.25]",2,"[21.5, 115.5]",2,l2,5,1
17,7,"[7.5, 26.0, 64.75, 116.75, 161.5, 183.75]",6,"[26.25, 41.75, 44.0, 59.25, 105.5, 117.75, 164.25, 177.75]",8,l2,5,1
17,8,"[32.5, 76.0, 107.75, 113.0, 124.75]",5,"[14.75, 60.5, 108.25, 125.0]",4,l2,5,1
18,1,[28.5],1,"[4.0, 55.0, 65.0, 116.25]",4,l2,5,1
18,2,"[13.75, 76.75, 127.0, 150.0]",4,"[15.75, 86.75, 124.0]",3,l2,5,1
18,3,[12.25],1,"[41.25, 77.0]",2,l2,5,1
18,4,"[22.5, 81.0, 115.25, 123.5]",4,"[19.25, 41.75, 72.5, 122.5]",4,l2,5,1
18,5,"[30.0, 41.0, 91.5]",3,"[34.25, 92.25]",2,l2,5,1
18,6,"[11.5, 26.25, 51.0, 83.5]",4,[55.0],1,l2,5,1
18,7,"[61.75, 90.5, 117.5, 159.5]",4,"[43.0, 61.25, 90.5, 116.75, 158.5, 181.0]",6,l2,5,1
18,8,"[20.75, 79.5]",2,"[38.75, 101.75, 114.5]",3,l2,5,1
19,1,"[41.75, 60.0, 136.25, 162.5, 164.0, 173.75]",6,"[108.5, 138.5, 163.0]",3,l2,5,1
19,2,"[47.0, 62.25, 149.0]",3,[],0,l2,5,1
19,3,[87.75],1,[],0,l2,5,1
19,4,[],0,[],0,l2,5,1
19,5,"[5.25, 6.75, 52.0, 80.0]",4,"[76.0, 86.25]",2,l2,5,1
19,6,[132.0],1,[133.75],1,l2,5,1
19,7,"[44.5, 58.75, 90.0, 92.5, 100.5, 148.0, 151.5]",7,"[53.0, 59.0, 88.75, 92.0, 100.5, 115.5]",6,l2,5,1
19,8,"[81.25, 97.75, 101.25, 102.5, 112.25, 113.75]",6,"[17.75, 80.0, 95.0, 111.25, 112.25, 114.0]",6,l2,5,1
2,1,"[60.75, 71.5]",2,[138.75],1,l2,5,1
2,2,"[20.75, 32.0, 42.75, 70.75, 76.0, 115.25, 122.0, 161.75]",8,[121.5],1,l2,5,1
2,3,"[4.5, 17.75]",2,[36.75],1,l2,5,1
2,4,[],0,[22.75],1,l2,5,1
2,5,"[12.5, 18.75]",2,[5.75],1,l2,5,1
2,6,"[69.0, 78.0, 138.25]",3,"[62.0, 81.25, 141.0]",3,l2,5,1
2,7,"[9.75, 40.75, 44.0, 91.0, 132.0, 167.5]",6,"[4.5, 38.25, 43.75, 90.75, 132.75, 167.75]",6,l2,5,1
2,8,"[58.5, 74.0, 103.5, 112.0]",4,"[14.5, 22.5, 27.75, 52.5, 59.25, 100.75]",6,l2,5,1
20,1,"[35.25, 76.0, 122.25]",3,"[8.5, 108.25, 137.25, 171.5]",4,l2,5,1
20,2,"[23.75, 70.5, 141.25, 166.0]",4,"[32.5, 108.25, 132.5, 165.0]",4,l2,5,1
20,3,[31.25],1,[21.0],1,l2,5,1
20,4,"[11.75, 75.25, 122.0]",3,"[10.5, 76.0, 122.75, 135.75]",4,l2,5,1
20,5,[65.5],1,"[12.25, 45.0, 57.5, 100.5, 114.75, 134.25]",6,l2,5,1
20,6,"[20.5, 65.75]",2,"[18.5, 51.25, 91.0, 99.0, 130.25]",5,l2,5,1
20,7,"[49.5, 60.0, 63.0, 90.5, 115.75, 120.25]",6,"[4.5, 37.75, 47.75, 58.75, 90.75, 100.5, 115.75, 120.25]",8,l2,5,1
20,8,"[7.5, 42.0, 95.0]",3,"[12.25, 18.0, 37.75, 69.75, 87.75, 99.25]",6,l2,5,1
21,1,[108.5],1,"[47.75, 72.75, 106.75, 149.0]",4,l2,5,1
21,2,[],0,"[22.0, 37.75, 105.25, 150.75, 167.25]",5,l2,5,1
21,3,[26.25],1,"[12.75, 29.5, 39.25]",3,l2,5,1
21,4,[],0,"[22.75, 34.25, 41.75, 85.75, 120.5]",5,l2,5,1
21,5,"[43.75, 58.75, 88.25]",3,"[58.5, 101.75, 120.75, 135.0]",4,l2,5,1
21,6,[],0,[],0,l2,5,1
21,7,"[71.5, 94.75, 117.5, 161.75]",4,"[12.75, 28.25, 47.75, 70.5, 112.0, 153.25, 162.25, 188.0]",8,l2,5,1
21,8,[],0,"[37.25, 80.0, 113.5]",3,l2,5,1
22,1,"[3.0, 6.0, 50.25, 54.5, 94.25, 120.5, 123.25, 143.0]",8,"[3.25, 64.0]",2,l2,5,1
22,2,"[26.25, 43.0, 56.25, 101.0, 124.75, 129.25, 166.75]",7,"[62.25, 109.75]",2,l2,5,1
22,3,"[10.25, 28.0]",2,"[66.25, 84.5]",2,l2,5,1
22,4,"[42.75, 58.5, 101.5, 139.75]",4,"[45.25, 58.5]",2,l2,5,1
22,5,"[4.0, 17.25, 58.25, 69.75, 85.0, 109.25]",6,"[42.75, 61.5, 91.75, 108.5]",4,l2,5,1
22,6,"[8.0, 14.75, 46.75, 75.5, 87.25, 115.0, 141.25]",7,"[15.5, 54.25, 75.75, 128.25]",4,l2,5,1
22,7,"[6.0, 38.0, 42.25, 59.0, 90.25, 116.25]",6,"[45.5, 59.25, 71.0, 84.5, 109.25, 113.75, 115.5, 125.0, 142.25, 153.5]",10,l2,5,1
22,8,"[32.25, 99.75, 107.75, 112.0, 126.5, 136.5]",6,"[29.0, 65.0, 112.0, 130.75, 134.25]",5,l2,5,1
23,1,"[34.25, 146.0, 165.0]",3,[],0,l2,5,1
23,2,"[42.0, 79.5, 123.0, 137.75, 151.25]",5,[151.0],1,l2,5,1
23,3,[39.0],1,"[16.25, 91.75]",2,l2,5,1
23,4,"[35.0, 93.5, 102.75, 123.0]",4,"[19.25, 144.0]",2,l2,5,1
23,5,"[54.25, 85.25]",2,"[20.25, 74.0]",2,l2,5,1
23,6,[],0,[18.25],1,l2,5,1
23,7,"[68.25, 111.5]",2,"[41.75, 60.0, 91.25, 110.5, 115.75]",5,l2,5,1
23,8,"[85.0, 102.0]",2,"[59.25, 101.25, 113.75]",3,l2,5,1
24,1,"[22.0, 23.25, 32.0, 33.25, 100.25, 111.0]",6,"[109.25, 120.25]",2,l2,5,1
24,2,"[22.25, 30.25, 57.5]",3,[],0,l2,5,1
24,3,[44.75],1,[40.5],1,l2,5,1
24,4,[],0,"[21.0, 25.0]",2,l2,5,1
24,5,"[107.0, 134.0]",2,"[46.25, 51.5]",2,l2,5,1
24,6,"[28.75, 105.25, 139.25]",3,"[12.5, 113.25]",2,l2,5,1
24,7,"[55.75, 69.5, 90.0, 96.0, 115.25, 181.0]",6,"[44.25, 58.0, 65.25, 90.0, 97.25, 118.25]",6,l2,5,1
24,8,"[102.75, 111.75]",2,"[22.25, 28.5, 57.25]",3,l2,5,1
25,1,"[70.0, 100.5, 142.25, 165.5]",4,"[7.75, 44.5, 67.25, 106.0, 116.5, 131.0, 137.75, 158.25]",8,l2,5,1
25,2,"[56.0, 104.75, 121.5, 138.0]",4,"[121.5, 144.0, 164.25]",3,l2,5,1
25,3,"[22.5, 41.5, 73.25]",3,"[10.5, 17.25, 77.25]",3,l2,5,1
25,4,[],0,"[43.25, 46.25, 123.25, 145.0]",4,l2,5,1
25,5,"[4.25, 19.0, 36.0, 62.0, 103.5]",5,"[20.0, 64.25, 125.0, 131.25]",4,l2,5,1
25,6,"[18.75, 57.5, 76.0, 102.5, 131.25]",5,"[5.25, 28.25, 37.75, 55.0, 128.75]",5,l2,5,1
25,7,"[71.75, 90.0, 91.75, 116.5, 121.25, 149.5]",6,"[25.0, 39.75, 47.25, 58.5, 77.0, 93.0, 115.5, 125.75]",8,l2,5,1
25,8,"[34.5, 72.75, 104.75, 111.25, 119.25, 131.75]",6,"[13.75, 18.25, 111.75, 115.75]",4,l2,5,1
26,1,"[2.5, 5.0, 104.5, 179.25]",4,"[41.25, 104.25, 112.75, 122.5]",4,l2,5,1
26,2,"[18.0, 83.5, 87.75, 109.25]",4,"[109.0, 124.5]",2,l2,5,1
26,3,"[33.5, 55.0, 100.25]",3,"[19.75, 56.0]",2,l2,5,1
26,4,"[10.5, 26.5]",2,[110.5],1,l2,5,1
26,5,"[41.75, 59.25, 128.5]",3,"[59.25, 102.5, 128.75]",3,l2,5,1
26,6,"[18.25, 21.5, 87.75]",3,[52.0],1,l2,5,1
26,7,"[28.75, 38.5, 58.25, 95.0, 116.25, 146.25]",6,"[17.75, 38.0, 59.5, 116.25]",4,l2,5,1
26,8,"[20.25, 22.25, 36.25, 38.0, 74.0, 100.75, 112.25]",7,"[49.5, 53.75, 76.0, 112.5]",4,l2,5,1
27,1,"[16.75, 60.5, 75.25, 90.75, 107.0, 128.25, 150.5, 154.75, 156.25, 159.0]",10,"[15.75, 32.75, 137.75]",3,l2,5,1
27,2,"[5.25, 50.5, 117.5, 141.5]",4,"[56.75, 119.0]",2,l2,5,1
27,3,[],0,"[10.0, 26.0, 42.75, 69.0]",4,l2,5,1
27,4,[],0,"[37.25, 116.0]",2,l2,5,1
27,5,"[4.25, 42.0]",2,"[11.25, 95.75, 113.25, 128.5]",4,l2,5,1
27,6,"[9.5, 50.75, 84.5]",3,"[4.75, 53.0, 87.75, 139.75]",4,l2,5,1
27,7,"[42.75, 58.75, 71.75, 89.25, 151.0, 182.5]",6,"[24.5, 40.25, 45.75, 58.75, 89.5, 92.0, 99.0, 115.5, 116.75, 122.75, 144.5, 166.5, 178.5]",13,l2,5,1
27,8,"[18.5, 50.25, 100.75, 110.0]",4,"[7.75, 30.25, 74.0, 99.0, 111.75]",5,l2,5,1
28,1,"[6.75, 46.25, 96.25, 124.5, 156.5]",5,"[66.25, 96.5, 146.0]",3,l2,5,1
28,2,"[27.0, 72.5, 109.5, 121.0, 142.0, 157.0]",6,"[27.25, 32.25, 61.25, 71.0, 120.75, 133.5, 161.5]",7,l2,5,1
28,3,[47.75],1,"[28.75, 48.0, 111.75]",3,l2,5,1
28,4,"[75.5, 118.75, 141.75]",3,"[68.25, 96.25, 103.0, 134.75]",4,l2,5,1
28,5,"[24.25, 59.5, 110.5]",3,[112.0],1,l2,5,1
28,6,"[24.5, 75.0, 87.75, 115.5]",4,[89.5],1,l2,5,1
28,7,"[61.5, 89.0]",2,"[59.0, 89.5, 115.75, 118.25, 154.25, 181.5]",6,l2,5,1
28,8,"[67.5, 115.75]",2,"[67.5, 76.75, 111.25]",3,l2,5,1
29,1,"[45.25, 87.75, 127.0, 153.0, 172.25]",5,[37.25],1,l2,5,1
29,2,[136.5],1,[140.25],1,l2,5,1
29,3,[],0,[],0,l2,5,1
29,4,"[20.5, 68.0]",2,"[20.75, 44.75]",2,l2,5,1
29,5,"[34.75, 64.75, 122.25]",3,[],0,l2,5,1
29,6,"[17.5, 88.5, 121.0]",3,[],0,l2,5,1
29,7,"[61.5, 91.0, 115.75, 152.25, 188.0]",5,"[12.5, 40.0, 61.5, 88.25, 115.75, 148.25]",6,l2,5,1
29,8,"[103.25, 112.25]",2,[112.0],1,l2,5,1
3,1,"[2.5, 4.0, 31.25, 58.25, 144.5]",5,"[15.0, 24.75, 130.25]",3,l2,5,1
3,2,"[5.75, 18.75, 52.5, 145.25]",4,"[65.25, 76.75, 141.25]",3,l2,5,1
3,3,[],0,"[11.5, 21.75, 30.25, 41.25]",4,l2,5,1
3,4,[96.0],1,"[11.25, 25.25]",2,l2,5,1
3,5,"[7.25, 60.75]",2,"[47.75, 56.25, 91.0, 121.5]",4,l2,5,1
3,6,"[15.0, 34.25]",2,[],0,l2,5,1
3,7,"[42.5, 46.75, 61.75, 77.5, 143.25, 165.0]",6,"[4.5, 20.0, 37.5, 47.5, 60.5, 148.25]",6,l2,5,1
3,8,"[3.75, 15.5, 29.5, 34.0, 58.75, 71.75, 83.5]",7,"[8.25, 16.75, 29.25, 55.5, 67.5]",5,l2,5,1
30,1,"[5.0, 32.5, 58.75, 72.75, 108.75, 154.25, 172.5]",7,"[4.0, 59.25, 73.75, 155.5, 182.0]",5,l2,5,1
30,2,"[4.25, 47.0, 83.0, 86.5, 101.0, 126.75]",6,"[46.75, 78.5, 102.25, 117.5, 125.5]",5,l2,5,1
30,3,[65.0],1,"[11.25, 64.75]",2,l2,5,1
30,4,"[19.0, 79.5, 113.25, 121.0]",4,[],0,l2,5,1
30,5,"[5.25, 30.75, 91.0]",3,"[62.0, 89.25, 101.5]",3,l2,5,1
30,6,[138.0],1,"[5.5, 22.0, 49.75, 75.25, 95.75]",5,l2,5,1
30,7,"[8.25, 23.5, 38.25, 58.75, 61.25, 76.5]",6,"[23.0, 39.0, 58.75, 60.0, 75.75, 88.75, 91.0, 94.5, 105.0, 115.5, 131.0, 149.0, 152.75, 156.75, 175.25, 180.25]",16,l2,5,1
30,8,"[17.0, 43.5, 59.0, 66.0, 100.25, 110.75]",6,"[57.5, 77.0, 99.75, 111.5]",4,l2,5,1
4,1,"[5.0, 36.0, 51.5, 98.5, 104.5]",5,[35.5],1,l2,5,1
4,2,"[3.75, 59.75, 77.5, 115.5, 134.25, 161.75, 165.75]",7,"[8.0, 13.75, 36.0, 60.0, 106.75, 121.25, 133.5, 159.75]",8,l2,5,1
4,3,"[42.0, 58.25, 71.5, 78.25]",4,"[11.0, 16.25, 23.5, 41.75]",4,l2,5,1
4,4,"[51.25, 76.0, 98.0, 115.25, 143.5]",5,"[5.25, 8.75, 21.75, 43.0, 45.0, 101.0, 114.75, 144.0]",8,l2,5,1
4,5,"[15.5, 53.75, 120.25]",3,"[29.0, 53.0, 95.0, 130.25]",4,l2,5,1
4,6,"[14.5, 39.75, 51.5, 63.5, 75.0, 78.5, 98.5, 119.0, 140.75]",9,"[23.75, 52.0, 58.5, 63.5, 80.75, 98.0, 124.25]",7,l2,5,1
4,7,"[13.0, 26.75, 42.25, 58.75, 66.0, 71.5, 92.5, 101.75, 151.25, 173.5]",10,"[10.75, 24.75, 42.25, 58.75, 75.25, 88.75, 92.25, 101.75, 115.75, 127.5, 151.0, 172.25, 174.75, 185.25]",14,l2,5,1
4,8,"[14.75, 19.75, 23.25, 53.5, 56.75, 66.0, 103.25, 109.5]",8,"[15.25, 33.25, 64.75, 80.0]",4,l2,5,1
5,1,"[48.5, 123.5, 143.25, 148.75]",4,"[42.75, 72.5, 106.25, 120.75, 136.0, 151.0]",6,l2,5,1
5,2,"[3.75, 52.25, 79.5, 107.25, 118.5, 130.0, 144.0]",7,"[81.5, 106.5, 119.75, 161.75]",4,l2,5,1
5,3,"[8.5, 46.25]",2,"[8.75, 42.0, 44.5]",3,l2,5,1
5,4,"[42.75, 70.0, 100.75]",3,"[15.5, 50.0, 62.25, 76.25, 98.0, 122.75, 138.75]",7,l2,5,1
5,5,"[3.5, 60.0, 97.25, 134.5]",4,"[6.25, 27.0, 43.0, 60.5, 63.5]",5,l2,5,1
5,6,"[12.75, 52.0, 128.75, 139.0]",4,"[13.75, 51.5, 92.5]",3,l2,5,1
5,7,"[49.0, 58.75, 96.75, 115.25, 117.5, 192.5]",6,"[5.5, 25.5, 31.25, 40.75, 48.0, 59.25, 62.0, 62.5, 66.75, 89.75, 91.25, 100.5, 115.5, 160.75, 172.25]",15,l2,5,1
5,8,"[17.0, 38.75, 55.5, 64.25, 87.5, 95.5, 111.0]",7,"[13.25, 33.0, 57.25, 111.0]",4,l2,5,1
6,1,"[5.75, 145.0]",2,"[33.5, 109.5]",2,l2,5,1
6,2,"[24.25, 65.25, 131.0, 151.5]",4,[],0,l2,5,1
6,3,"[18.75, 98.75]",2,"[19.5, 96.0]",2,l2,5,1
6,4,"[44.25, 64.5, 116.0]",3,"[46.5, 54.5, 115.25]",3,l2,5,1
6,5,"[7.0, 16.5, 109.25]",3,"[16.5, 99.0, 132.0]",3,l2,5,1
6,6,"[88.5, 136.25]",2,[],0,l2,5,1
6,7,"[62.0, 73.0, 94.75, 116.0, 134.5, 183.5]",6,"[43.75, 61.75, 96.75, 117.25]",4,l2,5,1
6,8,"[118.0, 127.25, 138.0]",3,"[14.25, 63.0, 79.75, 114.0, 132.75]",5,l2,5,1
7,1,"[3.5, 45.0, 78.0, 108.75, 138.0, 164.75, 169.25]",7,[],0,l2,5,1
7,2,"[129.25, 144.25, 165.5]",3,"[119.75, 142.5]",2,l2,5,1
7,3,"[37.75, 99.75]",2,[],0,l2,5,1
7,4,[],0,"[38.75, 53.0, 64.0, 118.25, 143.25]",5,l2,5,1
7,5,"[18.25, 21.5, 49.75, 94.0, 119.0]",5,"[28.0, 91.75]",2,l2,5,1
7,6,"[64.0, 74.25, 141.25]",3,[],0,l2,5,1
7,7,"[41.75, 67.5, 73.75, 91.25, 117.0, 145.5, 180.75]",7,"[41.5, 58.75, 65.5, 89.0, 92.0, 102.0, 115.5, 121.75, 143.25, 182.0]",10,l2,5,1
7,8,[116.25],1,"[73.75, 98.25, 111.5, 114.5, 125.0]",5,l2,5,1
8,1,"[3.0, 35.25, 51.0, 107.0, 133.5, 144.0, 160.25, 183.25]",8,"[3.25, 34.5, 51.25, 106.5, 138.5, 177.5]",6,l2,5,1
8,2,"[7.75, 37.0, 61.0, 79.5]",4,"[3.25, 8.75, 49.5, 69.5, 115.5]",5,l2,5,1
8,3,"[8.0, 59.75, 70.75, 103.0]",4,"[2.25, 11.5, 29.5, 55.75, 70.75]",5,l2,5,1
8,4,"[9.75, 40.5, 97.75]",3,"[5.5, 9.75, 40.25, 99.0]",4,l2,5,1
8,5,"[4.5, 68.0, 77.25, 79.25, 116.0]",5,"[4.5, 41.0, 66.5]",3,l2,5,1
8,6,"[4.25, 48.75, 77.5, 87.5, 98.75, 119.75]",6,"[16.5, 28.5, 49.25, 87.25, 108.0, 133.5]",6,l2,5,1
8,7,"[3.5, 28.25, 40.5, 58.5, 92.25, 115.25]",6,"[3.75, 41.25, 49.25, 58.25, 91.25, 102.25, 115.25]",7,l2,5,1
8,8,"[13.5, 80.0, 90.25, 102.0]",4,"[11.25, 32.0, 56.0, 80.0, 102.0, 112.25]",6,l2,5,1
9,1,"[9.25, 26.75, 88.25, 137.0, 150.5, 158.0]",6,"[15.5, 42.75, 53.5, 105.75, 158.25, 170.0]",6,l2,5,1
9,2,"[32.75, 78.25, 117.0, 139.5]",4,"[31.25, 47.75, 82.5, 154.75, 163.75]",5,l2,5,1
9,3,[],0,"[26.0, 57.0]",2,l2,5,1
9,4,"[15.5, 60.0]",2,"[15.0, 28.25, 93.0]",3,l2,5,1
9,5,"[22.5, 47.25, 124.75]",3,"[22.5, 49.5, 86.25, 111.5, 134.5]",5,l2,5,1
9,6,"[19.5, 53.75, 81.5, 98.5]",4,"[13.75, 30.75, 54.25, 90.0, 133.25]",5,l2,5,1
9,7,"[21.75, 44.0, 68.5, 99.5, 130.5]",5,"[38.25, 58.5, 94.5, 116.0, 143.0]",5,l2,5,1
9,8,"[23.25, 37.25, 57.5, 75.75, 106.75, 128.25]",6,"[31.0, 58.0, 112.75]",3,l2,5,1
